146
most central:  Box_n50_0_1400
Running fit for Box_n50_28_1400
scripts/fit-iter-handler-Box_n50_28_1400.sh
Submitted batch job 22054265
Running fit for Box8_1400
scripts/fit-iter-handler-Box8_1400.sh
Submitted batch job 22054270
Running fit for Box87_1400
scripts/fit-iter-handler-Box87_1400.sh
Submitted batch job 22054321
Running fit for Box9_1400
scripts/fit-iter-handler-Box9_1400.sh
Submitted batch job 22054333
Running fit for Box56_1400
scripts/fit-iter-handler-Box56_1400.sh
Submitted batch job 22054339
Running fit for Box_n50_16_1400
scripts/fit-iter-handler-Box_n50_16_1400.sh
Submitted batch job 22054340
Running fit for Box_n50_24_1400
scripts/fit-iter-handler-Box_n50_24_1400.sh
Submitted batch job 22054341
Running fit for Box_n50_42_1400
scripts/fit-iter-handler-Box_n50_42_1400.sh
Submitted batch job 22054342
Running fit for Box93_1400
scripts/fit-iter-handler-Box93_1400.sh
Submitted batch job 22054347
Running fit for Box66_1400
scripts/fit-iter-handler-Box66_1400.sh
Submitted batch job 22054349
Running fit for Box72_1400
scripts/fit-iter-handler-Box72_1400.sh
Submitted batch job 22054350
Running fit for Box42_1400
scripts/fit-iter-handler-Box42_1400.sh
Submitted batch job 22055142
Running fit for Box28_1400
scripts/fit-iter-handler-Box28_1400.sh
Submitted batch job 22055207
Running fit for Box48_1400
scripts/fit-iter-handler-Box48_1400.sh
Submitted batch job 22055220
Running fit for Box_n50_25_1400
scripts/fit-iter-handler-Box_n50_25_1400.sh
Submitted batch job 22055221
Running fit for Box_n50_47_1400
scripts/fit-iter-handler-Box_n50_47_1400.sh
Submitted batch job 22055222
Running fit for Box30_1400
scripts/fit-iter-handler-Box30_1400.sh
Submitted batch job 22055377
Running fit for Box_n50_10_1400
scripts/fit-iter-handler-Box_n50_10_1400.sh
Submitted batch job 22055378
Running fit for Box_n50_30_1400
scripts/fit-iter-handler-Box_n50_30_1400.sh
Submitted batch job 22055380
Running fit for Box20_1400
scripts/fit-iter-handler-Box20_1400.sh
Submitted batch job 22055382
Running fit for Box32_1400
scripts/fit-iter-handler-Box32_1400.sh
Submitted batch job 22055386
Running fit for Box_n50_27_1400
scripts/fit-iter-handler-Box_n50_27_1400.sh
Submitted batch job 22055398
Running fit for Box52_1400
scripts/fit-iter-handler-Box52_1400.sh
Submitted batch job 22055437
Running fit for Box73_1400
scripts/fit-iter-handler-Box73_1400.sh
Submitted batch job 22055487
Running fit for Box_n50_8_1400
scripts/fit-iter-handler-Box_n50_8_1400.sh
Submitted batch job 22055490
Running fit for Box33_1400
scripts/fit-iter-handler-Box33_1400.sh
Submitted batch job 22055508
Running fit for Box_n50_9_1400
scripts/fit-iter-handler-Box_n50_9_1400.sh
Submitted batch job 22055510
Running fit for Box38_1400
scripts/fit-iter-handler-Box38_1400.sh
Submitted batch job 22055577
